,ranker,player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,player_link,team_id_link
230,217,Serge Ibaka,C,30,TOR,23,6,569,10.6,21.9,.483,1.6,4.8,.333,9.0,17.1,.525,3.9,5.1,.770,4.1,11.1,15.3,2.4,0.9,1.8,3.8,5.2,26.7,,104,103,/players/i/ibakase01.html,/teams/TOR/2020.html
231,218,Ersan İlyasova,PF,32,MIL,31,4,526,8.2,15.8,.519,2.7,6.9,.392,5.5,8.9,.618,3.3,4.2,.792,3.5,10.9,14.4,2.6,1.2,1.0,1.6,3.9,22.4,,128,101,/players/i/ilyaser01.html,/teams/MIL/2020.html
232,219,Joe Ingles,SF,32,UTA,32,12,957,5.7,12.8,.441,3.4,8.2,.409,2.3,4.6,.500,1.7,2.1,.810,0.7,6.4,7.1,6.9,1.5,0.2,3.3,3.8,16.4,,111,108,/players/i/inglejo01.html,/teams/UTA/2020.html
233,220,Brandon Ingram,PF,22,NOP,30,30,1022,12.3,25.0,.491,3.2,7.8,.409,9.1,17.2,.528,6.8,8.0,.857,1.1,8.4,9.6,5.3,1.3,1.1,3.9,4.0,34.6,,115,112,/players/i/ingrabr01.html,/teams/NOP/2020.html
235,221,Kyrie Irving,PG,27,BRK,11,11,372,14.1,31.8,.444,3.9,11.5,.341,10.2,20.3,.503,7.4,7.9,.937,1.3,6.2,7.4,10.0,1.5,0.8,3.3,4.0,39.6,,117,108,/players/i/irvinky01.html,/teams/BRK/2020.html
236,222,Jonathan Isaac,SF,22,ORL,30,30,914,7.6,16.4,.463,1.6,4.8,.337,6.0,11.7,.514,2.9,3.6,.809,2.7,8.7,11.4,2.2,2.5,4.1,2.5,4.1,19.8,,105,101,/players/i/isaacjo01.html,/teams/ORL/2020.html
237,223,Wesley Iwundu,SF,25,ORL,18,3,251,3.3,11.7,.283,0.2,3.1,.063,3.1,8.6,.364,3.3,3.9,.850,1.6,5.7,7.2,3.3,1.8,0.8,1.8,3.7,10.1,,85,109,/players/i/iwundwe01.html,/teams/ORL/2020.html
238,224,Frank Jackson,PG,21,NOP,27,1,355,7.2,19.6,.369,2.6,9.1,.290,4.6,10.5,.438,3.4,4.2,.813,0.7,3.7,4.3,3.0,1.2,0.1,3.0,4.9,20.5,,92,116,/players/j/jacksfr01.html,/teams/NOP/2020.html
239,225,Jaren Jackson,C,20,MEM,33,33,918,10.7,22.7,.471,4.3,10.8,.396,6.4,11.9,.538,3.9,5.2,.755,1.7,6.2,7.9,2.5,1.1,2.2,2.9,6.8,29.5,,109,112,/players/j/jacksja02.html,/teams/MEM/2020.html
240,226,Justin Jackson,PF,24,DAL,28,0,414,7.3,17.3,.423,2.9,8.7,.333,4.4,8.6,.514,1.9,2.4,.762,1.4,6.6,8.0,1.9,0.6,0.2,0.6,4.0,19.4,,112,112,/players/j/jacksju01.html,/teams/DAL/2020.html
241,227,Reggie Jackson,PG,29,DET,2,2,36,5.4,14.8,.364,1.3,6.7,.200,4.0,8.1,.500,1.3,1.3,1.000,1.3,5.4,6.7,10.8,0.0,0.0,1.3,2.7,13.5,,113,118,/players/j/jacksre01.html,/teams/DET/2020.html
242,228,Justin James,SG,23,SAC,15,0,176,7.0,16.9,.417,1.7,5.9,.286,5.4,11.0,.487,0.6,2.5,.222,0.8,6.2,7.0,3.1,1.4,2.3,2.0,3.7,16.3,,91,110,/players/j/jamesju01.html,/teams/SAC/2020.html
243,229,LeBron James,PG,35,LAL,32,32,1119,13.2,27.1,.487,3.0,8.6,.345,10.2,18.5,.553,5.1,7.4,.688,1.4,8.9,10.3,14.9,1.8,0.8,5.2,2.6,34.4,,116,105,/players/j/jamesle01.html,/teams/LAL/2020.html
244,230,Amile Jefferson,PF,26,ORL,8,0,21,7.0,9.3,.750,0.0,0.0,,7.0,9.3,.750,0.0,4.7,.000,7.0,9.3,16.3,4.7,0.0,0.0,4.7,7.0,14.0,,105,111,/players/j/jeffeam01.html,/teams/ORL/2020.html
245,231,DaQuan Jeffries,SG,22,SAC,2,0,11,4.5,4.5,1.000,0.0,0.0,,4.5,4.5,1.000,0.0,0.0,,4.5,0.0,4.5,4.5,0.0,0.0,0.0,4.5,9.0,,212,119,/players/j/jeffrda01.html,/teams/SAC/2020.html
246,232,Ty Jerome,PG,22,PHO,10,0,134,5.6,17.1,.327,2.1,7.0,.300,3.5,10.1,.345,1.4,1.7,.800,1.0,4.9,5.9,7.7,3.8,0.0,3.1,4.5,14.7,,89,108,/players/j/jeromty01.html,/teams/PHO/2020.html
247,233,Alize Johnson,SF,23,IND,10,0,43,7.9,14.7,.538,0.0,0.0,,7.9,14.7,.538,3.4,4.5,.750,6.8,10.2,16.9,2.3,0.0,0.0,1.1,6.8,19.2,,127,108,/players/j/johnsal02.html,/teams/IND/2020.html
248,234,B.J. Johnson,SF,24,ORL,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117,/players/j/johnsbj01.html,/teams/ORL/2020.html
249,235,Cameron Johnson,PF,23,PHO,29,0,613,6.7,15.7,.427,4.4,11.0,.403,2.3,4.7,.484,1.8,2.2,.793,2.1,5.0,7.2,2.3,1.2,0.6,1.5,3.5,19.6,,114,113,/players/j/johnsca02.html,/teams/PHO/2020.html
250,236,James Johnson,PF,32,MIA,6,0,68,5.7,12.8,.444,1.4,6.4,.222,4.3,6.4,.667,1.4,2.9,.500,1.4,6.4,7.8,2.9,2.1,1.4,2.9,3.6,14.3,,94,105,/players/j/johnsja01.html,/teams/MIA/2020.html
251,237,Keldon Johnson,SF,20,SAS,1,0,2,0.0,23.7,.000,0.0,0.0,,0.0,23.7,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,120,/players/j/johnske04.html,/teams/SAS/2020.html
252,238,Stanley Johnson,PF,23,TOR,7,0,25,11.4,24.8,.462,1.9,7.6,.250,9.5,17.2,.556,0.0,0.0,,3.8,13.4,17.2,0.0,3.8,0.0,9.5,11.4,24.8,,71,96,/players/j/johnsst04.html,/teams/TOR/2020.html
253,239,Tyler Johnson,SG,27,PHO,22,3,403,5.5,14.3,.382,2.2,7.1,.311,3.3,7.2,.452,2.3,3.0,.769,0.9,4.1,5.0,5.0,0.9,0.8,2.3,3.8,15.5,,100,114,/players/j/johnsty01.html,/teams/PHO/2020.html
254,240,Nikola Jokić,C,24,DEN,32,32,997,11.3,22.7,.498,2.0,6.4,.310,9.3,16.3,.571,4.0,4.9,.810,3.6,12.2,15.8,10.7,1.6,0.9,4.0,4.9,28.5,,117,102,/players/j/jokicni01.html,/teams/DEN/2020.html
256,241,Damian Jones,C,24,ATL,30,19,533,7.2,10.6,.686,0.2,0.5,.333,7.1,10.0,.704,3.2,4.6,.698,4.1,5.8,9.9,1.8,1.1,2.4,1.6,8.2,17.9,,136,113,/players/j/jonesda03.html,/teams/ATL/2020.html
257,242,Derrick Jones,SF,22,MIA,18,0,408,6.3,12.2,.515,1.1,4.4,.243,5.2,7.8,.667,3.7,5.0,.738,1.8,6.2,8.0,2.3,2.3,1.1,1.8,5.1,17.3,,117,106,/players/j/jonesde02.html,/teams/MIA/2020.html
258,243,Tyus Jones,PG,23,MEM,34,6,674,6.2,14.2,.434,1.2,3.9,.321,4.9,10.3,.477,1.5,1.9,.750,0.3,3.5,3.9,11.3,2.2,0.3,2.4,1.8,15.0,,111,114,/players/j/jonesty01.html,/teams/MEM/2020.html
259,244,DeAndre Jordan,C,31,BRK,28,3,592,7.3,11.3,.643,0.0,0.0,,7.3,11.3,.643,3.4,5.1,.672,5.5,16.4,21.9,4.7,1.0,2.1,2.6,4.4,18.0,,130,101,/players/j/jordade01.html,/teams/BRK/2020.html
260,245,Cory Joseph,PG,28,SAC,33,20,884,4.5,11.9,.377,1.0,3.7,.273,3.5,8.2,.425,1.4,1.6,.893,1.1,4.2,5.2,7.2,1.3,0.8,2.4,3.9,11.4,,101,113,/players/j/josepco01.html,/teams/SAC/2020.html
261,246,Mfiondu Kabengele,C,22,LAC,10,0,44,10.6,23.3,.455,6.4,12.7,.500,4.2,10.6,.400,3.2,3.2,1.000,1.1,7.4,8.5,1.1,1.1,1.1,1.1,6.4,30.8,,123,107,/players/k/kabenmf01.html,/teams/LAC/2020.html
262,247,Frank Kaminsky,C,26,PHO,32,13,718,8.3,18.2,.455,2.5,7.3,.348,5.7,10.9,.527,3.8,5.7,.670,2.0,8.3,10.3,4.6,0.8,0.7,2.2,4.5,23.0,,111,112,/players/k/kaminfr01.html,/teams/PHO/2020.html
263,248,Enes Kanter,C,27,BOS,23,3,402,9.8,17.1,.570,0.1,0.4,.333,9.7,16.8,.576,3.6,5.4,.667,8.3,12.4,20.8,3.0,1.7,1.7,2.3,4.2,23.3,,126,101,/players/k/kanteen01.html,/teams/BOS/2020.html
264,249,Luke Kennard,SG,23,DET,28,25,922,7.9,18.0,.442,3.8,9.6,.399,4.1,8.4,.491,3.5,3.9,.893,0.5,4.7,5.1,6.0,0.6,0.3,2.3,3.4,23.2,,117,116,/players/k/kennalu01.html,/teams/DET/2020.html
265,250,Stanton Kidd,SF,27,UTA,4,0,15,0.0,9.6,.000,0.0,3.2,.000,0.0,6.4,.000,0.0,0.0,,0.0,9.6,9.6,3.2,0.0,0.0,6.4,9.6,0.0,,13,109,/players/k/kiddst01.html,/teams/UTA/2020.html
266,251,Michael Kidd-Gilchrist,PF,26,CHO,11,0,151,5.5,16.6,.333,1.6,5.5,.294,3.9,11.1,.353,2.3,2.9,.778,2.9,8.1,11.1,2.9,0.0,1.0,2.3,5.9,15.0,,91,115,/players/k/kiddgmi01.html,/teams/CHO/2020.html
267,252,Louis King,F,20,DET,2,0,7,20.8,41.5,.500,6.9,20.8,.333,13.8,20.8,.667,0.0,0.0,,6.9,6.9,13.8,6.9,6.9,0.0,6.9,0.0,48.4,,103,101,/players/k/kinglo02.html,/teams/DET/2020.html
268,253,Maxi Kleber,C,28,DAL,31,5,736,5.7,12.8,.444,2.9,7.5,.383,2.8,5.3,.531,2.1,2.4,.889,3.2,7.6,10.8,2.0,0.6,1.4,1.6,4.5,16.4,,120,110,/players/k/klebima01.html,/teams/DAL/2020.html
269,254,Brandon Knight,PG,28,CLE,10,0,114,6.8,20.0,.340,5.1,14.9,.343,1.7,5.1,.333,1.3,3.4,.375,0.4,3.0,3.4,6.8,1.7,0.4,3.4,3.8,20.0,,94,116,/players/k/knighbr03.html,/teams/CLE/2020.html
270,255,Kevin Knox,SF,20,NYK,32,4,642,6.5,17.0,.384,3.1,8.9,.347,3.4,8.0,.425,3.1,4.5,.683,0.9,6.2,7.1,2.8,1.4,1.2,1.9,3.9,19.3,,103,113,/players/k/knoxke01.html,/teams/NYK/2020.html
271,256,John Konchar,SG,23,MEM,2,0,8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,,,118,/players/k/konchjo01.html,/teams/MEM/2020.html
272,257,Furkan Korkmaz,SG,22,PHI,34,11,706,7.1,16.5,.432,3.8,9.9,.379,3.3,6.6,.510,1.3,1.7,.760,0.5,4.8,5.3,1.8,1.3,0.5,1.6,3.3,19.3,,106,108,/players/k/korkmfu01.html,/teams/PHI/2020.html
273,258,Luke Kornet,C,24,CHI,16,0,148,5.2,15.8,.327,1.9,9.0,.214,3.2,6.8,.476,1.6,1.6,1.000,1.9,5.5,7.4,1.9,0.6,3.5,1.0,4.2,13.8,,93,106,/players/k/kornelu01.html,/teams/CHI/2020.html
274,259,Kyle Korver,SF,38,MIL,29,0,479,5.6,14.1,.401,4.5,11.4,.395,1.1,2.7,.429,1.5,1.8,.842,0.7,4.3,5.0,2.9,1.4,0.6,2.2,3.2,17.3,,108,105,/players/k/korveky01.html,/teams/MIL/2020.html
275,260,Rodions Kurucs,PF,21,BRK,16,0,169,4.7,10.8,.436,1.9,3.9,.500,2.8,6.9,.400,1.4,2.8,.500,2.5,8.3,10.8,1.4,1.7,0.3,5.3,7.2,12.8,,80,107,/players/k/kurucro01.html,/teams/BRK/2020.html
277,261,Kyle Kuzma,PF,24,LAL,24,1,567,8.9,20.5,.432,3.4,9.5,.354,5.5,11.0,.500,3.0,4.2,.720,1.0,6.2,7.2,1.5,0.8,0.8,3.2,3.4,24.2,,98,108,/players/k/kuzmaky01.html,/teams/LAL/2020.html
278,262,Skal Labissière,C,23,POR,33,1,567,6.7,12.2,.551,0.2,1.1,.231,6.5,11.2,.582,2.1,2.7,.758,5.4,8.7,14.1,3.5,0.6,2.6,2.5,7.4,15.8,,120,110,/players/l/labissk01.html,/teams/POR/2020.html
279,263,Jeremy Lamb,SG,27,IND,22,22,667,8.3,18.6,.447,1.7,6.0,.293,6.6,12.6,.520,3.6,4.2,.845,0.9,6.6,7.5,3.9,2.0,1.0,2.3,3.5,21.9,,105,105,/players/l/lambje01.html,/teams/IND/2020.html
280,264,Romeo Langford,SG,20,BOS,7,0,86,3.9,10.2,.389,1.1,5.1,.222,2.8,5.1,.556,1.7,2.3,.750,2.3,1.7,3.9,0.6,1.7,1.1,1.1,3.4,10.7,,101,108,/players/l/langfro01.html,/teams/BOS/2020.html
281,265,Zach LaVine,SG,24,CHI,33,33,1099,11.3,26.2,.431,4.4,11.1,.396,6.9,15.2,.457,6.6,7.9,.831,1.0,5.6,6.6,5.5,1.9,0.6,4.9,3.3,33.6,,105,106,/players/l/lavinza01.html,/teams/CHI/2020.html
282,266,Jake Layman,PF,25,MIN,14,2,369,7.7,16.7,.462,2.4,6.8,.352,5.3,9.9,.538,0.8,1.3,.600,1.5,3.7,5.2,1.4,1.5,1.3,2.3,3.9,18.6,,100,113,/players/l/laymaja01.html,/teams/MIN/2020.html
283,267,T.J. Leaf,PF,22,IND,20,1,172,7.6,17.5,.435,1.4,3.7,.385,6.2,13.8,.449,1.7,2.8,.600,5.6,10.7,16.4,1.7,2.0,0.8,1.7,4.2,18.3,,106,103,/players/l/leaftj01.html,/teams/IND/2020.html
284,268,Courtney Lee,SG,34,DAL,8,3,69,9.1,15.4,.591,4.9,8.4,.583,4.2,7.0,.600,0.0,0.0,,0.0,2.1,2.1,2.1,0.0,1.4,1.4,3.5,23.0,,133,114,/players/l/leeco01.html,/teams/DAL/2020.html
285,269,Damion Lee,SG,27,GSW,20,7,505,7.5,18.0,.416,2.6,6.8,.375,4.9,11.2,.441,5.6,6.4,.881,1.9,8.2,10.1,4.1,1.5,0.0,2.2,3.6,23.1,,112,113,/players/l/leeda03.html,/teams/GSW/2020.html
286,270,Alex Len,C,26,ATL,31,9,552,8.8,15.8,.559,1.2,3.5,.333,7.7,12.3,.623,2.9,4.6,.648,4.1,9.4,13.6,2.9,1.3,1.9,2.7,6.0,21.8,,116,111,/players/l/lenal01.html,/teams/ATL/2020.html
287,271,Kawhi Leonard,SF,28,LAC,25,25,795,13.1,28.8,.455,2.6,7.2,.369,10.5,21.6,.484,8.8,10.0,.882,1.7,9.8,11.5,7.5,2.6,0.8,5.0,2.9,37.6,,111,102,/players/l/leonaka01.html,/teams/LAC/2020.html
288,272,Meyers Leonard,PF,27,MIA,32,32,604,5.9,10.8,.552,2.3,5.1,.460,3.6,5.7,.634,0.6,1.0,.615,1.4,10.5,11.9,2.6,0.6,1.1,1.9,5.2,14.8,,118,107,/players/l/leoname01.html,/teams/MIA/2020.html
289,273,Caris LeVert,SG,25,BRK,9,9,284,9.7,23.1,.421,2.1,5.9,.361,7.6,17.2,.442,3.3,5.1,.645,1.7,5.8,7.4,5.9,1.0,0.2,5.1,3.3,24.9,,93,110,/players/l/leverca01.html,/teams/BRK/2020.html
290,274,Damian Lillard,PG,29,POR,31,31,1141,10.8,24.3,.442,4.3,12.2,.356,6.4,12.1,.529,8.8,9.8,.898,0.6,4.7,5.3,9.7,1.2,0.5,3.7,2.6,34.6,,122,114,/players/l/lillada01.html,/teams/POR/2020.html
291,275,Nassir Little,PF,19,POR,22,3,310,4.9,12.0,.405,0.8,4.6,.167,4.1,7.5,.551,2.6,4.0,.654,3.2,7.0,10.2,2.0,1.2,1.1,1.4,5.8,13.1,,105,112,/players/l/littlna01.html,/teams/POR/2020.html
292,276,Kevon Looney,C,23,GSW,10,3,105,5.0,14.6,.344,0.5,0.9,.500,4.6,13.7,.333,1.4,2.3,.600,6.8,6.4,13.2,1.8,1.4,0.9,2.7,7.8,11.9,,88,113,/players/l/looneke01.html,/teams/GSW/2020.html
293,277,Brook Lopez,C,31,MIL,32,32,845,6.2,15.6,.399,2.6,8.5,.308,3.6,7.2,.508,2.9,3.2,.898,1.2,7.4,8.6,2.7,1.2,4.2,1.7,3.9,18.0,,106,99,/players/l/lopezbr01.html,/teams/MIL/2020.html
294,278,Robin Lopez,C,31,MIL,34,2,487,7.3,14.3,.513,1.5,5.0,.302,5.8,9.3,.626,1.6,2.9,.548,3.1,5.2,8.3,2.2,0.6,2.1,3.3,4.8,17.8,,103,104,/players/l/lopezro01.html,/teams/MIL/2020.html
295,279,Kevin Love,PF,31,CLE,27,27,826,8.6,19.0,.451,3.8,9.9,.385,4.7,9.1,.523,5.6,6.6,.841,1.5,15.2,16.8,4.6,0.9,0.6,4.3,2.1,26.5,,110,111,/players/l/loveke01.html,/teams/CLE/2020.html
296,280,Kyle Lowry,PG,33,TOR,22,22,839,7.8,18.2,.427,3.9,10.4,.372,3.9,7.8,.500,6.5,7.6,.865,0.7,5.5,6.2,9.3,1.5,0.5,4.2,3.8,26.0,,116,107,/players/l/lowryky01.html,/teams/TOR/2020.html
298,281,Timothé Luwawu-Cabarrot,SG,24,BRK,9,0,149,3.8,10.7,.353,1.6,5.0,.313,2.2,5.7,.389,2.8,3.8,.750,0.6,4.7,5.4,1.9,1.3,0.3,2.8,3.8,12.0,,88,110,/players/l/luwawti01.html,/teams/BRK/2020.html
299,282,Trey Lyles,PF,24,SAS,31,21,529,5.0,11.3,.444,2.2,6.2,.362,2.8,5.1,.544,0.7,1.2,.615,3.0,12.6,15.7,3.7,0.7,1.0,1.8,3.1,13.0,,113,111,/players/l/lylestr01.html,/teams/SAS/2020.html
300,283,Daryl Macon,SG,24,MIA,4,0,14,3.5,10.4,.333,3.5,6.9,.500,0.0,3.5,.000,0.0,0.0,,0.0,0.0,0.0,3.5,0.0,0.0,6.9,3.5,10.4,,65,116,/players/m/maconda01.html,/teams/MIA/2020.html
301,284,Josh Magette,PG,30,ORL,4,0,12,12.2,28.6,.429,0.0,0.0,,12.2,28.6,.429,4.1,8.2,.500,4.1,8.2,12.2,8.2,8.2,0.0,12.2,0.0,28.6,,75,94,/players/m/magetjo01.html,/teams/ORL/2020.html
302,285,Ian Mahinmi,C,33,WAS,11,8,227,5.9,12.5,.475,0.2,1.6,.125,5.7,10.8,.528,4.9,7.8,.632,6.3,7.8,14.1,2.0,1.4,3.1,3.5,7.1,16.9,,107,113,/players/m/mahinia01.html,/teams/WAS/2020.html
303,286,Thon Maker,C,22,DET,31,3,344,4.9,9.9,.500,1.1,3.0,.381,3.8,6.9,.551,4.6,7.2,.647,2.7,5.8,8.4,2.0,1.3,2.5,2.5,6.1,15.6,,112,111,/players/m/makerth01.html,/teams/DET/2020.html
304,287,Terance Mann,SG,23,LAC,22,5,203,4.8,9.7,.500,0.5,2.1,.222,4.4,7.6,.576,1.8,2.3,.800,0.7,5.1,5.8,6.4,1.4,0.7,2.8,6.0,12.0,,109,108,/players/m/mannte01.html,/teams/LAC/2020.html
305,288,Boban Marjanović,C,31,DAL,15,1,143,10.4,19.9,.525,0.0,1.0,.000,10.4,18.9,.554,4.7,6.7,.700,5.1,15.2,20.2,2.4,0.7,1.0,4.0,7.7,25.6,,107,105,/players/m/marjabo01.html,/teams/DAL/2020.html
306,289,Lauri Markkanen,PF,22,CHI,33,33,995,7.9,18.9,.416,3.3,9.7,.337,4.6,9.2,.500,4.7,5.7,.824,1.7,8.8,10.5,2.7,1.3,1.0,2.8,3.2,23.7,,106,105,/players/m/markkla01.html,/teams/CHI/2020.html
307,290,Caleb Martin,SF,24,CHO,5,0,32,4.6,15.4,.300,0.0,4.6,.000,4.6,10.8,.429,4.6,7.7,.600,1.5,6.2,7.7,4.6,1.5,3.1,4.6,4.6,13.8,,75,110,/players/m/martica02.html,/teams/CHO/2020.html
308,291,Cody Martin,SF,24,CHO,26,0,392,4.4,10.9,.402,0.9,4.3,.206,3.5,6.7,.528,3.6,5.3,.690,1.6,7.3,8.9,4.1,2.8,0.5,1.9,5.3,13.3,,106,110,/players/m/martico01.html,/teams/CHO/2020.html
309,292,Kelan Martin,SF,24,MIN,12,0,174,6.7,18.0,.373,3.0,10.0,.297,3.8,8.1,.467,0.5,0.5,1.000,1.1,7.8,8.9,1.3,0.8,0.3,1.3,6.5,16.9,,94,113,/players/m/martike03.html,/teams/MIN/2020.html
310,293,Frank Mason,PG,25,MIL,4,0,18,2.5,17.8,.143,2.5,10.2,.250,0.0,7.6,.000,5.1,10.2,.500,2.5,2.5,5.1,12.7,2.5,0.0,2.5,5.1,12.7,,87,104,/players/m/masonfr01.html,/teams/MIL/2020.html
311,294,Garrison Mathews,SG,23,WAS,10,0,101,3.7,9.6,.381,3.2,8.7,.368,0.5,0.9,.500,3.2,3.7,.875,1.8,5.0,6.9,2.8,0.9,0.5,2.3,6.0,13.8,,114,119,/players/m/mathega01.html,/teams/WAS/2020.html
312,295,Wesley Matthews,SG,33,MIL,33,33,789,5.1,11.7,.431,3.0,8.0,.380,2.0,3.8,.538,1.8,2.3,.795,0.4,4.2,4.6,2.6,1.4,0.3,1.4,2.8,14.9,,113,106,/players/m/matthwe02.html,/teams/MIL/2020.html
313,296,Patrick McCaw,SF,24,TOR,12,6,319,4.5,9.6,.469,1.8,4.8,.375,2.7,4.8,.563,0.4,0.6,.750,1.0,3.3,4.3,3.3,2.2,0.1,2.4,3.0,11.2,,102,107,/players/m/mccawpa01.html,/teams/TOR/2020.html
314,297,CJ McCollum,SG,28,POR,33,33,1209,11.4,25.1,.455,3.5,9.3,.376,7.9,15.8,.501,2.5,3.0,.818,1.0,4.6,5.6,4.7,1.1,0.9,2.6,3.3,28.8,,109,114,/players/m/mccolcj01.html,/teams/POR/2020.html
315,298,T.J. McConnell,PG,27,IND,31,0,563,8.6,16.9,.510,0.3,0.9,.300,8.4,16.0,.522,1.2,1.5,.824,1.3,5.8,7.1,13.5,1.7,0.4,3.8,2.9,18.7,,111,107,/players/m/mccontj01.html,/teams/IND/2020.html
316,299,Jalen McDaniels,PF,22,CHO,2,0,7,14.1,35.2,.400,0.0,7.0,.000,14.1,28.1,.500,0.0,0.0,,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,28.1,,91,121,/players/m/mcdanja01.html,/teams/CHO/2020.html
317,300,Doug McDermott,PF,28,IND,33,0,697,8.4,17.7,.472,4.4,9.5,.460,4.0,8.1,.487,1.3,1.7,.792,1.1,5.4,6.5,2.6,0.3,0.2,1.7,4.4,22.4,,115,111,/players/m/mcderdo01.html,/teams/IND/2020.html
319,301,JaVale McGee,C,32,LAL,33,33,541,9.2,14.4,.638,0.1,0.1,1.000,9.1,14.3,.636,1.9,3.1,.629,5.7,11.5,17.2,1.8,1.4,4.4,2.3,6.9,20.5,,124,99,/players/m/mcgeeja01.html,/teams/LAL/2020.html
320,302,Rodney McGruder,SG,28,LAC,22,2,380,3.9,10.3,.381,2.0,6.3,.314,2.0,4.1,.485,0.7,1.5,.500,1.6,5.9,7.5,1.7,1.4,0.5,1.1,4.9,10.6,,102,108,/players/m/mcgruro01.html,/teams/LAC/2020.html
321,303,Alfonzo McKinnie,SF,27,CLE,21,0,202,4.8,13.2,.364,1.9,6.0,.320,2.9,7.2,.400,1.7,2.6,.636,2.6,6.5,9.1,0.7,1.7,0.7,2.2,5.3,13.2,,91,114,/players/m/mckinal01.html,/teams/CLE/2020.html
322,304,Jordan McLaughlin,PG,23,MIN,5,0,80,6.4,16.4,.393,2.3,8.2,.286,4.1,8.2,.500,2.3,2.3,1.000,0.6,4.7,5.3,7.0,2.3,0.0,2.3,2.9,17.6,,107,112,/players/m/mclaujo01.html,/teams/MIN/2020.html
323,305,Ben McLemore,SG,26,HOU,33,8,794,6.3,15.6,.404,4.7,13.3,.352,1.6,2.3,.700,2.1,2.6,.800,0.6,4.0,4.7,1.9,1.4,0.5,1.6,3.9,19.4,,114,113,/players/m/mclembe01.html,/teams/HOU/2020.html
324,306,Jordan McRae,SG,28,WAS,15,0,279,9.1,19.4,.470,3.0,6.8,.439,6.1,12.6,.487,3.8,4.7,.821,0.7,5.6,6.3,6.6,1.5,0.8,2.7,4.8,25.1,,115,117,/players/m/mcraejo01.html,/teams/WAS/2020.html
325,307,Nicolò Melli,C,29,NOP,26,3,370,5.4,13.7,.394,2.9,9.5,.307,2.5,4.3,.588,2.9,3.8,.767,1.8,5.9,7.7,3.3,1.8,0.6,2.3,5.7,16.6,,107,112,/players/m/mellini01.html,/teams/NOP/2020.html
326,308,De'Anthony Melton,PG,21,MEM,23,0,382,7.2,16.0,.450,1.6,4.4,.361,5.6,11.6,.484,4.3,5.0,.854,2.3,8.2,10.5,8.5,3.8,0.6,4.3,5.7,20.3,,108,107,/players/m/meltode01.html,/teams/MEM/2020.html
327,309,Chimezie Metu,PF,22,SAS,9,0,34,15.3,27.9,.550,0.0,0.0,,15.3,27.9,.550,2.8,5.6,.500,11.2,11.2,22.3,2.8,1.4,4.2,1.4,1.4,33.5,,121,106,/players/m/metuch01.html,/teams/SAS/2020.html
328,310,Khris Middleton,SF,28,MIL,27,24,755,11.5,23.4,.490,3.5,8.6,.408,8.0,14.8,.537,4.3,4.7,.897,1.5,7.7,9.2,6.3,1.6,0.3,3.3,3.8,30.7,,116,103,/players/m/middlkh01.html,/teams/MIL/2020.html
329,311,C.J. Miles,SG,32,WAS,10,0,161,5.5,17.0,.322,3.2,10.1,.314,2.3,6.9,.333,4.3,5.8,.750,1.2,2.3,3.5,3.5,2.9,1.2,1.2,4.0,18.4,,103,116,/players/m/milescj01.html,/teams/WAS/2020.html
330,312,Malcolm Miller,SF,26,TOR,18,1,108,2.6,8.4,.316,2.2,6.6,.333,0.4,1.8,.250,0.4,2.6,.167,0.4,5.7,6.2,3.1,1.8,0.9,1.3,4.4,7.9,,88,106,/players/m/millema01.html,/teams/TOR/2020.html
331,313,Patty Mills,PG,31,SAS,31,1,714,8.2,18.3,.451,4.5,10.9,.415,3.7,7.4,.505,2.7,3.5,.769,0.5,2.7,3.1,4.3,1.8,0.3,2.1,3.0,23.6,,114,114,/players/m/millspa02.html,/teams/SAS/2020.html
332,314,Paul Millsap,PF,34,DEN,28,28,697,8.6,17.7,.484,2.1,4.6,.462,6.4,13.1,.492,5.3,6.0,.882,3.7,7.7,11.4,2.8,1.7,1.4,2.6,5.4,24.6,,118,104,/players/m/millspa01.html,/teams/DEN/2020.html
333,315,Shake Milton,SG,23,PHI,10,0,83,7.6,20.9,.361,2.3,11.0,.211,5.2,9.9,.529,4.1,5.2,.778,0.6,4.1,4.6,4.1,0.6,0.0,7.0,7.6,21.5,,79,110,/players/m/miltosh01.html,/teams/PHI/2020.html
334,316,Donovan Mitchell,SG,23,UTA,32,32,1122,12.9,28.2,.458,3.0,8.6,.355,9.9,19.7,.503,5.7,6.8,.831,1.1,5.2,6.3,5.8,1.6,0.4,3.5,3.2,34.6,,109,108,/players/m/mitchdo01.html,/teams/UTA/2020.html
