,ranker,player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,player_link,team_id_link
148,139,Tacko Fall,C,24,BOS,3,0,11,26.5,35.3,.750,0.0,0.0,,26.5,35.3,.750,4.4,8.8,.500,0.0,30.9,30.9,0.0,0.0,8.8,13.2,13.2,57.3,,91,84,/players/f/fallta01.html,/teams/BOS/2020.html
149,140,Derrick Favors,C,28,NOP,18,16,415,7.9,14.1,.560,0.1,0.3,.333,7.8,13.7,.566,1.0,2.1,.474,7.0,13.4,20.4,4.6,1.1,1.7,2.9,4.8,16.9,,117,108,/players/f/favorde01.html,/teams/NOP/2020.html
151,141,Terrance Ferguson,SF,21,OKC,26,26,699,3.3,8.5,.385,2.2,6.6,.326,1.1,1.9,.593,0.5,0.6,.778,1.2,2.4,3.6,1.8,1.0,0.4,1.4,6.2,9.2,,101,113,/players/f/fergute01.html,/teams/OKC/2020.html
152,142,Bruno Fernando,C,21,ATL,32,5,380,6.0,12.4,.485,0.5,2.8,.174,5.5,9.5,.577,2.3,3.9,.594,4.3,8.0,12.2,3.9,1.1,1.3,3.5,6.7,14.8,,101,113,/players/f/fernabr01.html,/teams/ATL/2020.html
153,143,Yogi Ferrell,PG,26,SAC,25,0,355,6.7,15.8,.425,1.5,5.7,.268,5.2,10.1,.514,3.9,4.5,.875,0.6,4.3,4.9,6.3,1.4,0.4,2.7,3.1,18.9,,108,113,/players/f/ferreyo01.html,/teams/SAC/2020.html
154,144,Dorian Finney-Smith,PF,26,DAL,32,29,912,5.5,11.2,.491,2.4,6.2,.393,3.1,5.0,.611,1.8,2.5,.708,3.0,5.8,8.8,2.4,1.1,0.8,1.6,3.4,15.2,,124,110,/players/f/finnedo01.html,/teams/DAL/2020.html
155,145,Bryn Forbes,SG,26,SAS,31,31,801,7.5,18.2,.410,4.1,11.2,.363,3.4,6.9,.487,2.4,2.7,.870,0.5,4.0,4.4,3.3,0.8,0.0,1.5,3.3,21.4,,109,116,/players/f/forbebr01.html,/teams/SAS/2020.html
156,146,Evan Fournier,SG,27,ORL,32,32,984,10.9,22.7,.480,4.3,10.2,.420,6.6,12.5,.530,4.8,5.9,.814,0.2,4.1,4.3,5.2,1.6,0.2,3.0,3.7,30.8,,114,111,/players/f/fournev01.html,/teams/ORL/2020.html
157,147,De'Aaron Fox,PG,22,SAC,15,13,443,10.4,22.0,.472,1.7,5.4,.313,8.7,16.7,.523,7.1,10.1,.700,1.6,4.9,6.5,11.4,1.8,0.6,5.8,4.8,29.5,,108,112,/players/f/foxde01.html,/teams/SAC/2020.html
158,148,Melvin Frazier,SG,23,ORL,7,0,19,7.7,25.8,.300,5.2,10.3,.500,2.6,15.5,.167,2.6,5.2,.500,2.6,2.6,5.2,2.6,2.6,0.0,0.0,7.7,23.2,,95,109,/players/f/frazime01.html,/teams/ORL/2020.html
159,149,Tim Frazier,PG,29,DET,19,7,248,5.1,13.5,.377,2.0,4.7,.417,3.1,8.8,.356,3.5,4.3,.818,1.0,2.7,3.7,13.5,2.0,0.4,3.5,6.1,15.6,,114,114,/players/f/fraziti01.html,/teams/DET/2020.html
160,150,Markelle Fultz,PG,21,ORL,31,26,812,8.7,18.8,.466,0.8,3.1,.269,7.9,15.6,.506,3.1,4.2,.739,0.7,4.5,5.2,8.0,2.0,0.4,3.6,3.8,21.4,,102,109,/players/f/fultzma01.html,/teams/ORL/2020.html
161,151,Wenyen Gabriel,PF,22,SAC,8,0,49,5.1,16.2,.313,1.0,8.1,.125,4.0,8.1,.500,5.1,9.1,.556,4.0,4.0,8.1,3.0,2.0,2.0,3.0,6.1,16.2,,88,110,/players/g/gabriwe01.html,/teams/SAC/2020.html
162,152,Daniel Gafford,C,21,CHI,23,0,256,8.0,11.2,.717,0.0,0.0,,8.0,11.2,.717,2.4,4.7,.520,3.7,4.1,7.8,1.1,0.2,5.2,1.3,7.4,18.4,,133,105,/players/g/gaffoda01.html,/teams/CHI/2020.html
163,153,Danilo Gallinari,PF,31,OKC,27,27,823,8.9,20.5,.432,4.4,11.2,.395,4.4,9.3,.478,6.6,7.3,.903,0.8,8.2,9.1,3.5,1.1,0.2,2.3,2.3,28.8,,117,109,/players/g/gallida01.html,/teams/OKC/2020.html
164,154,Langston Galloway,SG,28,DET,33,6,872,6.8,15.4,.439,4.1,9.9,.413,2.7,5.5,.485,2.9,3.3,.898,0.8,3.2,4.0,2.6,1.2,0.4,1.3,2.3,20.6,,120,116,/players/g/gallola01.html,/teams/DET/2020.html
165,155,Darius Garland,PG,20,CLE,32,32,902,7.4,18.6,.399,3.0,8.1,.371,4.4,10.5,.421,1.6,1.8,.853,0.8,2.7,3.5,5.0,1.2,0.0,4.5,2.6,19.4,,92,118,/players/g/garlada01.html,/teams/CLE/2020.html
166,156,Marc Gasol,C,35,TOR,27,27,762,3.9,10.8,.364,1.9,5.5,.352,2.0,5.3,.376,1.3,1.8,.750,1.4,9.8,11.2,5.8,1.4,1.9,2.1,5.3,11.1,,104,103,/players/g/gasolma01.html,/teams/TOR/2020.html
167,157,Rudy Gay,PF,33,SAS,31,5,706,8.4,18.4,.456,2.2,6.9,.320,6.2,11.5,.538,3.8,4.4,.877,2.2,10.2,12.4,3.9,1.1,1.4,3.3,3.0,22.8,,106,111,/players/g/gayru01.html,/teams/SAS/2020.html
168,158,Paul George,SF,29,LAC,23,23,717,11.6,26.9,.431,5.5,13.9,.394,6.1,13.0,.470,6.8,7.5,.913,0.7,8.2,8.9,5.3,2.1,0.8,5.0,3.7,35.5,,109,104,/players/g/georgpa01.html,/teams/LAC/2020.html
169,159,Taj Gibson,C,34,NYK,30,24,481,6.1,12.7,.476,0.2,1.0,.200,5.9,11.7,.500,0.9,1.7,.529,5.4,7.9,13.3,3.4,1.8,1.2,2.4,6.6,13.3,,105,111,/players/g/gibsota01.html,/teams/NYK/2020.html
170,160,Harry Giles,PF,21,SAC,8,0,69,10.8,23.0,.469,0.0,0.0,,10.8,23.0,.469,3.6,4.3,.833,2.2,5.0,7.2,5.7,2.2,2.9,3.6,12.9,25.1,,101,107,/players/g/gilesha01.html,/teams/SAC/2020.html
172,161,Shai Gilgeous-Alexander,SG,21,OKC,32,32,1131,9.9,21.7,.456,1.9,5.1,.364,8.1,16.6,.484,5.6,6.9,.807,0.9,6.0,6.9,3.9,1.6,0.6,2.9,2.4,27.3,,106,109,/players/g/gilgesh01.html,/teams/OKC/2020.html
173,162,Rudy Gobert,C,27,UTA,30,30,1037,8.0,11.6,.688,0.0,0.0,,8.0,11.6,.688,4.8,7.8,.609,5.0,14.6,19.5,2.0,1.0,2.6,2.9,4.2,20.7,,127,101,/players/g/goberru01.html,/teams/UTA/2020.html
174,163,Brandon Goodwin,PG,24,ATL,4,0,32,2.9,17.4,.167,1.5,8.7,.167,1.5,8.7,.167,0.0,0.0,,1.5,4.4,5.8,4.4,1.5,1.5,2.9,4.4,7.3,,54,115,/players/g/goodwbr01.html,/teams/ATL/2020.html
175,164,Aaron Gordon,PF,24,ORL,29,29,903,7.8,19.2,.404,1.8,6.1,.292,6.0,13.1,.456,3.5,4.9,.703,2.8,8.5,11.2,4.5,1.0,1.0,2.4,3.2,20.8,,101,108,/players/g/gordoaa01.html,/teams/ORL/2020.html
176,165,Eric Gordon,SG,31,HOU,10,3,287,6.5,19.7,.328,4.0,13.1,.309,2.4,6.6,.366,2.1,3.6,.591,0.6,2.3,2.9,1.6,1.0,0.3,2.4,3.4,19.1,,88,115,/players/g/gordoer01.html,/teams/HOU/2020.html
177,166,Devonte' Graham,PG,24,CHO,35,25,1215,8.6,22.7,.379,5.3,13.5,.392,3.3,9.2,.358,4.6,5.7,.801,1.4,4.1,5.5,10.9,1.2,0.4,4.2,2.7,27.1,,110,116,/players/g/grahade01.html,/teams/CHO/2020.html
178,167,Treveon Graham,SG,26,MIN,29,20,612,4.4,12.5,.350,1.4,6.0,.231,3.0,6.5,.459,1.9,2.7,.714,2.1,5.0,7.1,2.0,1.2,0.2,1.2,4.6,12.0,,97,114,/players/g/grahatr01.html,/teams/MIN/2020.html
179,168,Jerami Grant,PF,25,DEN,32,3,753,7.5,16.3,.462,2.9,7.0,.411,4.7,9.3,.500,3.3,5.0,.662,1.0,5.8,6.7,1.8,1.0,1.4,1.8,3.9,21.3,,110,107,/players/g/grantje01.html,/teams/DEN/2020.html
180,169,Josh Gray,PG,26,NOP,2,0,23,2.0,4.1,.500,0.0,0.0,,2.0,4.1,.500,0.0,0.0,,2.0,2.0,4.1,4.1,0.0,0.0,10.1,2.0,4.1,,47,120,/players/g/grayjo01.html,/teams/NOP/2020.html
181,170,Danny Green,SG,32,LAL,33,33,837,5.5,13.3,.414,3.7,9.7,.376,1.8,3.5,.516,1.1,1.4,.792,1.3,5.6,6.9,2.3,2.2,0.9,1.8,4.4,15.7,,109,105,/players/g/greenda02.html,/teams/LAL/2020.html
182,171,Draymond Green,PF,29,GSW,24,24,704,5.6,13.6,.410,1.4,4.6,.294,4.2,9.0,.470,3.1,4.1,.738,1.0,9.2,10.3,9.1,2.6,1.1,3.9,4.3,15.6,,100,109,/players/g/greendr01.html,/teams/GSW/2020.html
183,172,JaMychal Green,PF,29,LAC,25,0,514,5.5,13.6,.400,3.4,9.4,.359,2.1,4.3,.489,1.7,2.1,.826,2.9,11.4,14.3,1.4,1.4,0.7,1.9,5.5,16.0,,109,104,/players/g/greenja01.html,/teams/LAC/2020.html
184,173,Javonte Green,SF,26,BOS,24,0,183,7.7,13.5,.569,0.8,3.4,.231,6.9,10.1,.684,1.1,1.9,.571,1.6,6.4,8.0,1.9,1.1,1.1,2.1,5.3,17.2,,110,107,/players/g/greenja02.html,/teams/BOS/2020.html
185,174,Jeff Green,PF,33,UTA,30,2,553,6.5,16.9,.385,3.0,9.0,.327,3.6,7.9,.451,4.3,5.5,.778,1.2,5.8,7.0,1.7,1.0,0.9,2.3,4.0,20.2,,100,108,/players/g/greenje02.html,/teams/UTA/2020.html
186,175,Blake Griffin,PF,30,DET,18,18,512,8.3,23.6,.352,2.6,10.5,.243,5.8,13.1,.439,7.2,9.3,.776,1.6,6.3,7.9,5.6,0.7,0.7,3.8,2.6,26.4,,97,115,/players/g/griffbl01.html,/teams/DET/2020.html
187,176,Marko Guduric,SG,24,MEM,26,0,382,5.7,15.4,.373,2.2,7.8,.281,3.5,7.6,.468,1.8,2.1,.882,1.5,5.0,6.5,4.4,1.1,0.7,3.4,3.1,15.5,,91,115,/players/g/gudurma01.html,/teams/MEM/2020.html
188,177,Rui Hachimura,PF,21,WAS,25,25,729,9.3,19.3,.482,0.6,3.1,.208,8.6,16.2,.533,2.9,3.4,.852,2.5,6.7,9.2,2.5,1.1,0.2,1.3,3.6,22.1,,111,118,/players/h/hachiru01.html,/teams/WAS/2020.html
189,178,Devon Hall,SG,24,OKC,5,0,20,2.4,12.2,.200,0.0,4.9,.000,2.4,7.3,.333,7.3,9.7,.750,0.0,2.4,2.4,7.3,0.0,0.0,2.4,2.4,12.2,,86,116,/players/h/hallde01.html,/teams/OKC/2020.html
190,179,Tim Hardaway,SG,27,DAL,32,19,816,9.0,21.5,.419,4.9,12.8,.382,4.1,8.7,.473,3.0,3.7,.806,0.6,4.2,4.8,3.2,1.1,0.2,1.7,3.1,25.9,,112,112,/players/h/hardati02.html,/teams/DAL/2020.html
191,180,James Harden,SG,30,HOU,32,32,1205,13.9,30.2,.458,6.3,16.8,.378,7.5,13.4,.559,13.1,15.2,.865,1.3,6.0,7.3,9.2,2.3,1.0,5.8,4.1,47.2,,124,109,/players/h/hardeja01.html,/teams/HOU/2020.html
193,181,Maurice Harkless,SF,26,LAC,34,23,788,4.4,8.9,.493,1.1,3.1,.346,3.3,5.8,.571,1.1,2.0,.576,1.8,5.4,7.2,2.3,2.3,1.4,1.8,5.3,11.0,,108,105,/players/h/harklma01.html,/teams/LAC/2020.html
194,182,Jared Harper,PG,22,PHO,1,0,2,0.0,23.4,.000,0.0,23.4,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,119,/players/h/harpeja01.html,/teams/PHO/2020.html
195,183,Montrezl Harrell,C,26,LAC,33,2,964,12.4,21.7,.575,0.0,0.6,.000,12.4,21.1,.591,5.4,8.2,.663,4.7,7.2,11.9,3.0,1.2,1.8,3.1,3.7,30.3,,118,106,/players/h/harremo01.html,/teams/LAC/2020.html
196,184,Gary Harris,SG,25,DEN,31,31,1019,6.4,14.8,.436,2.2,6.4,.341,4.3,8.4,.509,2.0,2.4,.820,0.8,3.4,4.2,3.3,2.1,0.4,1.5,3.4,17.0,,108,107,/players/h/harriga01.html,/teams/DEN/2020.html
197,185,Joe Harris,SF,28,BRK,31,31,980,8.1,17.2,.471,4.0,9.3,.428,4.1,7.9,.521,1.3,1.8,.757,1.2,4.7,5.9,3.1,1.0,0.5,2.1,3.5,21.5,,114,111,/players/h/harrijo01.html,/teams/BRK/2020.html
198,186,Tobias Harris,PF,27,PHI,35,35,1203,10.8,22.3,.486,2.2,6.5,.340,8.6,15.8,.546,3.7,4.7,.795,1.1,8.3,9.5,4.3,1.2,1.0,2.4,3.4,27.6,,111,106,/players/h/harrito02.html,/teams/PHI/2020.html
199,187,Shaquille Harrison,SF,26,CHI,19,4,153,6.2,16.2,.385,0.9,3.1,.300,5.3,13.1,.405,4.0,6.2,.650,1.9,8.1,10.0,7.2,3.1,1.6,1.9,5.9,17.4,,105,101,/players/h/harrish01.html,/teams/CHI/2020.html
200,188,Josh Hart,SF,24,NOP,27,4,747,6.2,15.2,.407,3.7,10.6,.353,2.4,4.6,.534,2.2,2.9,.766,1.4,8.4,9.9,2.7,1.7,0.4,2.1,4.6,18.4,,108,112,/players/h/hartjo01.html,/teams/NOP/2020.html
201,189,Isaiah Hartenstein,C,21,HOU,11,1,162,6.9,9.7,.706,0.0,0.3,.000,6.9,9.4,.727,3.1,4.3,.733,4.3,9.4,13.7,2.9,1.1,1.7,2.9,7.2,16.9,,131,108,/players/h/harteis01.html,/teams/HOU/2020.html
202,190,Udonis Haslem,PF,39,MIA,2,0,11,4.4,4.4,1.000,0.0,0.0,,4.4,4.4,1.000,13.2,17.6,.750,0.0,13.2,13.2,0.0,0.0,0.0,0.0,13.2,22.0,,191,108,/players/h/hasleud01.html,/teams/MIA/2020.html
203,191,Jaxson Hayes,C,19,NOP,31,10,626,7.1,11.3,.629,0.1,0.3,.250,7.0,11.0,.639,4.6,7.1,.653,4.2,6.3,10.6,1.9,1.5,2.6,1.9,7.0,18.9,,128,110,/players/h/hayesja02.html,/teams/NOP/2020.html
204,192,Gordon Hayward,SF,29,BOS,14,14,427,10.5,19.9,.526,2.0,5.9,.346,8.4,14.0,.602,2.8,3.4,.833,1.1,8.3,9.4,7.0,1.2,0.8,2.6,3.0,25.8,,120,106,/players/h/haywago01.html,/teams/BOS/2020.html
205,193,John Henson,PF,29,CLE,14,0,178,6.5,12.2,.533,0.5,3.3,.167,6.0,9.0,.667,1.6,4.6,.353,3.5,9.5,13.1,5.2,2.4,5.4,3.0,6.0,15.2,,106,104,/players/h/hensojo01.html,/teams/CLE/2020.html
206,194,Dewan Hernandez,C,23,TOR,4,0,11,4.3,21.7,.200,0.0,4.3,.000,4.3,17.3,.250,8.7,8.7,1.000,8.7,21.7,30.4,0.0,4.3,0.0,4.3,26.0,17.3,,80,88,/players/h/hernade01.html,/teams/TOR/2020.html
207,195,Juan Hernangómez,PF,24,DEN,20,0,256,4.8,13.5,.357,2.3,8.7,.267,2.5,4.8,.520,1.5,2.9,.533,2.3,7.1,9.4,2.7,0.2,0.6,1.9,3.1,13.5,,96,109,/players/h/hernaju01.html,/teams/DEN/2020.html
208,196,Willy Hernangómez,C,25,CHO,11,0,69,7.8,18.5,.423,1.4,5.0,.286,6.4,13.6,.474,4.3,8.6,.500,7.1,10.0,17.1,2.1,0.7,2.1,4.3,3.6,21.4,,96,111,/players/h/hernawi01.html,/teams/CHO/2020.html
209,197,Tyler Herro,SG,20,MIA,31,3,894,8.5,20.2,.422,3.5,9.1,.389,5.0,11.1,.449,2.9,3.3,.869,0.5,6.7,7.2,3.6,1.1,0.2,3.1,2.1,23.4,,101,109,/players/h/herroty01.html,/teams/MIA/2020.html
210,198,Kevin Hervey,F,23,OKC,2,0,8,0.0,24.4,.000,0.0,18.3,.000,0.0,6.1,.000,0.0,0.0,,0.0,12.2,12.2,6.1,0.0,0.0,0.0,6.1,0.0,,16,110,/players/h/herveke01.html,/teams/OKC/2020.html
211,199,Mario Hezonja,PF,24,POR,25,4,414,4.0,11.4,.350,1.1,3.7,.313,2.9,7.8,.368,2.7,3.3,.828,1.8,10.5,12.3,2.5,1.5,0.2,2.3,6.3,11.9,,95,110,/players/h/hezonma01.html,/teams/POR/2020.html
212,200,Buddy Hield,SG,27,SAC,33,33,1128,10.8,26.1,.414,5.3,14.6,.360,5.5,11.5,.483,2.5,3.0,.812,1.3,6.0,7.3,4.4,1.2,0.5,3.6,3.6,29.4,,102,112,/players/h/hieldbu01.html,/teams/SAC/2020.html
214,201,George Hill,PG,33,MIL,32,0,688,8.1,14.4,.560,3.5,6.7,.530,4.5,7.7,.586,2.9,3.4,.843,2.1,4.9,6.9,6.3,1.7,0.2,2.0,3.0,22.5,,138,105,/players/h/hillge01.html,/teams/MIL/2020.html
215,202,Solomon Hill,SF,28,MEM,32,2,631,5.2,12.6,.409,3.0,7.5,.392,2.2,5.1,.435,1.3,1.8,.708,1.5,6.3,7.8,4.4,2.0,0.4,2.1,3.8,14.6,,107,113,/players/h/hillso01.html,/teams/MEM/2020.html
216,203,Jaylen Hoard,SF,20,POR,5,0,18,7.9,15.7,.500,0.0,0.0,,7.9,15.7,.500,2.6,5.2,.500,7.9,10.5,18.4,5.2,2.6,0.0,0.0,2.6,18.4,,132,108,/players/h/hoardja01.html,/teams/POR/2020.html
217,204,Aaron Holiday,PG,23,IND,31,14,718,8.5,19.4,.436,3.6,8.5,.424,4.9,11.0,.444,2.4,2.8,.878,0.7,4.5,5.3,6.5,1.8,0.2,3.0,3.7,22.9,,108,108,/players/h/holidaa01.html,/teams/IND/2020.html
218,205,Jrue Holiday,SG,29,NOP,32,32,1142,10.4,23.6,.442,2.6,7.5,.348,7.8,16.1,.486,2.5,3.7,.689,1.8,4.6,6.4,8.5,2.3,1.0,4.0,2.9,26.0,,105,112,/players/h/holidjr01.html,/teams/NOP/2020.html
219,206,Justin Holiday,SG,30,IND,33,2,829,5.0,12.8,.393,2.9,8.0,.365,2.1,4.8,.439,1.2,1.5,.800,0.9,6.1,7.0,2.8,2.0,1.1,1.1,3.1,14.2,,108,105,/players/h/holidju01.html,/teams/IND/2020.html
220,207,Rondae Hollis-Jefferson,SF,25,TOR,25,0,490,7.3,14.8,.493,0.2,1.0,.200,7.1,13.8,.514,5.0,6.6,.750,5.5,7.2,12.7,3.7,1.8,1.0,2.6,5.3,19.8,,116,104,/players/h/holliro01.html,/teams/TOR/2020.html
221,208,Richaun Holmes,C,26,SAC,33,29,968,9.2,13.9,.664,0.0,0.0,,9.2,13.9,.664,3.3,4.0,.821,5.2,9.2,14.4,1.8,1.8,2.2,2.0,6.9,21.7,,134,107,/players/h/holmeri01.html,/teams/SAC/2020.html
222,209,Rodney Hood,SF,27,POR,21,21,619,6.6,13.1,.506,2.7,5.4,.493,4.0,7.7,.515,1.6,2.1,.778,0.8,4.7,5.5,2.4,1.3,0.3,1.4,3.5,17.5,,121,114,/players/h/hoodro01.html,/teams/POR/2020.html
223,210,Al Horford,C,33,PHI,31,31,946,8.2,17.8,.460,2.2,6.4,.344,6.0,11.5,.524,1.4,2.0,.692,2.5,7.9,10.5,6.0,1.6,1.6,1.7,3.7,20.0,,114,104,/players/h/horfoal01.html,/teams/PHI/2020.html
224,211,Talen Horton-Tucker,SG,19,LAL,2,0,5,0.0,9.6,.000,0.0,9.6,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,19.2,9.6,0.0,0.0,0.0,0.0,,92,93,/players/h/hortota01.html,/teams/LAL/2020.html
225,212,Danuel House,SF,26,HOU,27,25,832,6.0,13.5,.440,3.3,8.7,.385,2.6,4.8,.540,2.0,2.6,.761,1.8,4.3,6.2,2.0,1.6,0.8,1.4,3.3,17.2,,118,112,/players/h/houseda01.html,/teams/HOU/2020.html
226,213,Dwight Howard,C,34,LAL,33,0,647,7.1,9.3,.762,0.1,0.2,.333,7.0,9.1,.772,3.0,6.2,.488,5.4,11.4,16.8,1.7,1.0,3.3,3.0,8.4,17.3,,125,102,/players/h/howardw01.html,/teams/LAL/2020.html
227,214,Kevin Huerter,SG,21,ATL,22,14,557,6.0,15.6,.385,3.2,9.0,.352,2.8,6.6,.430,2.1,2.5,.833,0.9,5.0,5.9,6.2,1.7,0.8,3.0,3.9,17.3,,102,115,/players/h/huertke01.html,/teams/ATL/2020.html
228,215,De'Andre Hunter,SF,22,ATL,32,31,1015,6.6,16.7,.398,2.4,7.2,.338,4.2,9.5,.444,2.7,3.5,.763,0.7,4.9,5.6,2.7,1.0,0.4,2.4,3.8,18.4,,96,117,/players/h/huntede01.html,/teams/ATL/2020.html
229,216,Chandler Hutchison,SF,23,CHI,9,6,154,6.2,13.6,.455,1.5,3.7,.417,4.6,9.9,.469,5.9,9.0,.655,0.3,9.9,10.2,2.5,1.5,0.6,3.7,3.7,19.8,,98,104,/players/h/hutchch01.html,/teams/CHI/2020.html
