,ranker,player,pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp,player_link,team_id_link
480,455,Derrick White,SG,25,SAS,29,10,685,5.3,11.2,.472,1.5,3.7,.400,3.8,7.6,.507,2.7,3.5,.788,0.7,3.5,4.2,4.8,0.8,0.9,1.9,3.3,14.8,/players/w/whitede01.html,/teams/SAS/2020.html
481,456,Hassan Whiteside,C,30,POR,30,30,876,7.8,12.9,.608,0.0,0.1,.500,7.8,12.8,.609,3.2,4.3,.760,4.6,11.8,16.4,1.6,0.5,3.4,2.5,3.7,19.0,/players/w/whiteha01.html,/teams/POR/2020.html
482,457,Andrew Wiggins,SF,24,MIN,26,26,931,9.3,20.8,.446,2.2,6.8,.326,7.1,14.0,.504,4.1,5.5,.748,1.2,4.2,5.4,3.3,0.7,1.1,2.5,2.5,24.9,/players/w/wiggian01.html,/teams/MIN/2020.html
483,458,Grant Williams,PF,21,BOS,28,1,428,2.7,7.3,.368,0.4,3.1,.135,2.3,4.2,.540,1.7,2.1,.800,1.7,3.5,5.2,2.3,0.8,1.3,1.8,5.2,7.5,/players/w/willigr01.html,/teams/BOS/2020.html
484,459,Johnathan Williams,F,24,WAS,2,1,46,3.1,4.7,.667,0.0,0.0,,3.1,4.7,.667,2.3,2.3,1.000,3.1,5.5,8.6,3.1,0.0,0.8,0.0,2.3,8.6,/players/w/willijo04.html,/teams/WAS/2020.html
485,460,Kenrich Williams,PF,25,NOP,32,18,753,2.3,6.6,.353,1.2,4.5,.266,1.1,2.2,.533,0.4,1.1,.375,2.3,5.9,8.2,2.5,1.1,1.0,1.0,3.6,6.3,/players/w/willike04.html,/teams/NOP/2020.html
487,461,Lou Williams,SG,33,LAC,32,4,968,7.4,18.0,.413,2.0,5.8,.353,5.4,12.2,.442,5.7,6.7,.845,0.4,3.1,3.6,7.4,0.8,0.2,3.6,1.8,22.6,/players/w/willilo02.html,/teams/LAC/2020.html
488,462,Marvin Williams,PF,33,CHO,30,0,623,4.6,9.5,.479,2.1,5.4,.398,2.4,4.2,.583,1.9,2.1,.892,0.8,4.1,4.9,1.8,1.2,0.8,1.2,3.2,13.2,/players/w/willima02.html,/teams/CHO/2020.html
489,463,Robert Williams,C,22,BOS,19,1,269,4.4,6.6,.673,0.0,0.0,,4.4,6.6,.673,1.1,1.9,.571,3.1,8.6,11.6,2.8,2.3,2.8,2.1,4.6,9.9,/players/w/williro04.html,/teams/BOS/2020.html
490,464,Nigel Williams-Goss,PG,25,UTA,7,0,22,0.0,8.2,.000,0.0,1.6,.000,0.0,6.5,.000,3.3,3.3,1.000,1.6,1.6,3.3,3.3,0.0,1.6,1.6,1.6,3.3,/players/w/willini01.html,/teams/UTA/2020.html
491,465,D.J. Wilson,PF,23,MIL,18,0,202,5.5,11.8,.470,2.0,7.0,.282,3.6,4.8,.741,0.4,0.5,.667,1.1,6.4,7.5,2.5,0.0,0.5,2.0,3.0,13.4,/players/w/wilsodj01.html,/teams/MIL/2020.html
492,466,Justise Winslow,SF,23,MIA,10,5,337,5.3,13.6,.394,0.6,2.8,.231,4.7,10.8,.436,1.9,2.9,.667,1.7,5.9,7.6,4.6,0.6,0.4,2.5,3.8,13.2,/players/w/winslju01.html,/teams/MIA/2020.html
493,467,Christian Wood,PF,24,DET,29,0,451,7.9,12.7,.623,1.4,3.4,.395,6.5,9.3,.707,4.4,6.7,.655,3.1,8.1,11.3,1.4,0.7,1.8,2.3,2.2,21.6,/players/w/woodch01.html,/teams/DET/2020.html
494,468,Delon Wright,SG,27,DAL,30,2,614,5.2,10.3,.500,1.1,3.0,.373,4.0,7.3,.552,2.4,2.8,.872,1.5,4.7,6.3,5.8,2.7,0.5,1.3,2.1,13.8,/players/w/wrighde01.html,/teams/DAL/2020.html
495,469,Thaddeus Young,PF,31,CHI,32,0,698,5.8,14.5,.397,1.8,5.4,.324,4.0,9.1,.441,1.2,2.0,.605,2.5,4.9,7.4,3.0,1.8,0.4,2.6,3.1,14.5,/players/y/youngth01.html,/teams/CHI/2020.html
496,470,Trae Young,PG,21,ATL,31,31,1082,9.6,21.6,.444,3.5,9.6,.368,6.1,12.0,.504,6.7,7.9,.845,0.5,3.9,4.4,8.6,1.3,0.1,4.9,1.6,29.4,/players/y/youngtr01.html,/teams/ATL/2020.html
497,471,Cody Zeller,C,27,CHO,32,20,758,6.9,12.8,.543,0.7,2.5,.283,6.2,10.3,.606,3.2,4.7,.680,4.5,7.1,11.6,1.9,1.0,0.7,2.3,3.9,17.8,/players/z/zelleco01.html,/teams/CHO/2020.html
498,472,Ante Žižić,C,23,CLE,10,0,96,6.8,11.6,.581,0.0,0.0,,6.8,11.6,.581,3.4,3.7,.900,2.6,6.8,9.4,0.0,0.7,1.1,0.4,4.1,16.9,/players/z/zizican01.html,/teams/CLE/2020.html
499,473,Ivica Zubac,C,22,LAC,34,32,587,6.8,11.5,.590,0.0,0.1,.000,6.8,11.4,.597,4.2,5.6,.739,5.1,8.6,13.7,2.0,0.4,1.9,2.0,5.0,17.8,/players/z/zubaciv01.html,/teams/LAC/2020.html
