,ranker,player,pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp,player_link,team_id_link
419,397,Dario Šarić,PF,25,PHO,32,32,880,5.4,12.3,.442,2.0,6.1,.336,3.4,6.2,.546,1.8,2.1,.863,2.3,7.2,9.5,2.8,1.0,0.4,1.8,3.5,14.7,/players/s/saricda01.html,/teams/PHO/2020.html
420,398,Tomáš Satoranský,PG,28,CHI,33,33,931,4.7,10.2,.462,1.5,3.9,.396,3.2,6.3,.503,1.9,2.2,.857,1.2,3.6,4.9,6.7,1.9,0.2,2.7,2.3,12.8,/players/s/satorto01.html,/teams/CHI/2020.html
421,399,Admiral Schofield,SF,22,WAS,18,2,222,3.4,8.6,.396,1.8,5.5,.324,1.6,3.1,.526,1.3,1.6,.800,0.6,3.4,4.1,1.9,1.1,0.5,1.0,5.2,9.9,/players/s/schofad01.html,/teams/WAS/2020.html
422,400,Dennis Schröder,PG,26,OKC,31,0,935,8.4,17.8,.469,2.1,6.1,.346,6.2,11.7,.533,3.1,3.7,.825,0.3,4.3,4.6,4.4,0.8,0.4,3.5,2.6,21.9,/players/s/schrode01.html,/teams/OKC/2020.html
424,401,Mike Scott,PF,31,PHI,35,4,654,4.3,10.0,.431,2.4,6.8,.358,1.9,3.2,.586,0.7,0.8,.800,1.3,4.9,6.2,1.2,0.6,0.1,0.7,2.5,11.7,/players/s/scottmi01.html,/teams/PHI/2020.html
425,402,Thabo Sefolosha,PF,35,HOU,23,0,227,2.5,7.6,.333,1.3,4.6,.276,1.3,3.0,.421,0.0,0.2,.000,1.9,5.7,7.6,2.4,1.4,0.6,1.1,3.3,6.3,/players/s/sefolth01.html,/teams/HOU/2020.html
426,403,Collin Sexton,SG,21,CLE,32,32,979,8.2,18.2,.448,1.0,3.5,.274,7.2,14.7,.489,3.8,4.6,.817,1.3,2.6,3.8,2.8,1.1,0.1,2.4,2.5,21.1,/players/s/sextoco01.html,/teams/CLE/2020.html
427,404,Landry Shamet,SG,22,LAC,17,11,462,3.9,9.1,.427,2.7,6.8,.402,1.2,2.3,.500,1.6,1.7,.955,0.1,2.3,2.3,2.1,0.6,0.3,1.2,4.0,12.2,/players/s/shamela01.html,/teams/LAC/2020.html
428,405,Iman Shumpert,SG,29,BRK,13,0,241,3.1,9.6,.328,1.2,4.9,.242,1.9,4.6,.419,0.6,1.0,.571,1.3,3.7,5.1,1.8,1.8,0.3,1.5,3.1,8.1,/players/s/shumpim01.html,/teams/BRK/2020.html
429,406,Pascal Siakam,PF,25,TOR,27,27,989,9.2,20.2,.457,2.4,6.2,.392,6.8,13.9,.486,3.8,4.7,.813,1.4,6.5,7.9,3.5,0.9,0.9,2.6,2.8,24.6,/players/s/siakapa01.html,/teams/TOR/2020.html
