,ranker,player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,player_link,team_id_link
0,1,Steven Adams,C,26,OKC,29,806,21.6,.613,.004,.373,14.0,24.4,19.3,15.5,1.1,3.7,14.1,17.6,,2.1,1.2,3.3,.195,,1.6,3.2,4.8,1.4,/players/a/adamsst01.html,/teams/OKC/2020.html
1,2,Bam Adebayo,C,22,MIA,32,1098,20.5,.608,.027,.561,8.9,24.8,17.2,20.8,2.0,3.6,17.8,19.8,,2.3,2.0,4.3,.189,,0.8,4.3,5.1,2.0,/players/a/adebaba01.html,/teams/MIA/2020.html
2,3,LaMarcus Aldridge,C,34,SAS,29,953,21.5,.575,.128,.226,6.9,17.2,12.1,11.5,0.9,4.9,7.9,23.9,,2.0,0.8,2.9,.144,,1.0,0.8,1.9,0.9,/players/a/aldrila01.html,/teams/SAS/2020.html
3,4,Nickeil Alexander-Walker,SG,21,NOP,27,341,8.3,.444,.525,.099,1.2,16.2,8.5,19.6,1.2,1.0,13.3,23.6,,-0.5,0.2,-0.3,-0.041,,-3.9,-2.2,-6.1,-0.4,/players/a/alexani01.html,/teams/NOP/2020.html
4,5,Grayson Allen,SG,24,MEM,19,347,11.6,.574,.542,.176,0.9,13.9,7.4,11.8,0.7,0.2,11.9,19.3,,0.3,0.1,0.3,.044,,-0.7,-3.2,-3.8,-0.2,/players/a/allengr01.html,/teams/MEM/2020.html
5,6,Jarrett Allen,C,21,BRK,31,823,22.9,.671,.009,.604,14.2,25.2,19.9,7.7,1.3,4.2,11.6,16.0,,2.7,1.5,4.1,.239,,1.1,2.9,4.0,1.3,/players/a/allenja01.html,/teams/BRK/2020.html
6,7,Kadeem Allen,SG,27,NYK,2,18,11.8,.643,.714,.000,0.0,0.0,0.0,17.8,2.7,0.0,22.2,21.2,,0.0,0.0,0.0,.034,,-1.1,-7.1,-8.1,0.0,/players/a/allenka01.html,/teams/NYK/2020.html
7,8,Al-Farouq Aminu,PF,29,ORL,18,380,7.9,.395,.419,.337,6.5,18.2,12.2,7.6,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,.019,,-4.6,2.1,-2.4,0.0,/players/a/aminual01.html,/teams/ORL/2020.html
8,9,Kyle Anderson,PF,26,MEM,28,511,13.1,.509,.180,.278,6.4,19.1,12.7,17.4,1.6,2.4,14.8,14.3,,0.4,0.4,0.8,.073,,-1.9,1.3,-0.6,0.2,/players/a/anderky01.html,/teams/MEM/2020.html
9,10,Ryan Anderson,PF,31,HOU,2,14,9.8,.357,.714,.000,0.0,51.5,25.8,20.0,3.3,0.0,12.5,23.4,,0.0,0.0,0.0,-0.023,,-6.9,1.6,-5.3,0.0,/players/a/anderry01.html,/teams/HOU/2020.html
10,11,Giannis Antetokounmpo,PF,25,MIL,31,963,33.8,.610,.250,.504,8.9,31.2,20.6,33.3,1.9,3.4,12.7,38.1,,3.7,2.5,6.2,.307,,7.8,5.0,12.8,3.6,/players/a/antetgi01.html,/teams/MIL/2020.html
